group,district1vote,district2vote,method,perc_republicans
1,0.346891983,0.348470633,mailers,0.26
1,0.347399851,0.360180851,mailers,0.53
1,0.445235541,0.223654283,mailers,0.03
1,0.19579597,0.414102133,mailers,0
1,0.443624992,0.24854236,mailers,0.14
1,0.388904355,0.315921506,mailers,0.71
1,0.604835394,0.356920992,mailers,0.16
1,0.428124936,0.360538889,mailers,0.31
1,0.417076599,0.180541574,mailers,0.74
1,0.344086875,0.340853139,mailers,0.5
1,0.387469262,0.413696719,mailers,0.48
1,0.448113628,0.19042498,mailers,0.68
1,0.290577285,0.478911685,mailers,0.44
1,0.393186092,0.229121757,mailers,0.59
1,0.356856715,0.333494828,mailers,0.18
1,0.362061821,0.353158543,mailers,0.69
1,0.364381365,0.357571834,mailers,0.04
2,0.427289753,0.331353185,phone,0.18
2,0.506695714,0.384446196,phone,0.61
2,0.324010614,0.319572998,phone,0.18
2,0.589360113,0.450642521,phone,0.04
2,0.244055075,0.323439424,phone,0.24
2,0.370404232,0.249245932,phone,0.39
2,0.412081806,0.507964299,phone,0.23
2,0.353055798,0.462104751,phone,0.13
2,0.377928487,0.375737707,phone,0.69
2,0.577006284,0.36876288,phone,0.71
2,0.356149837,0.372874686,phone,0.56
2,0.264799732,0.314533733,phone,0.27
2,0.402598416,0.59639331,phone,0.24
2,0.369522322,0.558158508,phone,0.18
2,0.455355107,0.239854053,phone,0.42
2,0.24902216,0.457812037,phone,0.05
2,0.441789682,0.315879996,phone,0.17
2,0.375210433,0.410023458,phone,0.15
2,0.411111031,0.407067703,phone,0.27
2,0.184600898,0.465633434,phone,0.19
2,0.329062989,0.46610828,phone,0.13
2,0.530212056,0.412139454,phone,0.1
2,0.541036449,0.283712597,phone,0.13
2,0.342161138,0.412818835,phone,0.24
2,0.43711569,0.502620901,phone,0.03
2,0.468942281,0.341406553,phone,0.18
2,0.269510863,0.362944867,phone,0.39
2,0.258711503,0.2679493,phone,0.03
2,0.477603022,0.352498128,phone,0.23
2,0.318177209,0.623175388,phone,0.03
2,0.409860584,0.425813236,phone,0.37
2,0.547777622,0.485805859,phone,0.23
2,0.497351226,0.570895842,phone,0.45
2,0.318529947,0.546107456,phone,0.03
2,0.41580089,0.431034148,phone,0
2,0.327886404,0.36706728,phone,0.12
2,0.368709926,0.552006662,phone,0.61
2,0.257203691,0.312532401,phone,0.18
2,0.499247626,0.256187611,phone,0.08
2,0.437543524,0.294350987,phone,0.2
2,0.531294355,0.489787454,phone,0.06
2,0.405700264,0.334736938,phone,0.4
2,0.394410181,0.476276883,phone,0.05
2,0.494324666,0.540036421,phone,0.46
2,0.413243127,0.318628422,phone,0.51
2,0.461561546,0.488625466,phone,0.41
2,0.309401111,0.399295269,phone,0.18
2,0.571895109,0.419692313,phone,0.01
2,0.411833465,0.263438988,phone,0.28
2,0.342964375,0.520294303,phone,0.29
2,0.362021447,0.261563425,phone,0.15
2,0.304695837,0.451701596,phone,0.2
2,0.395459534,0.471416415,phone,0.64
2,0.462975171,0.608334299,phone,0.3
2,0.459620255,0.421356241,phone,0.46
2,0.440784979,0.417965252,phone,0.26
2,0.169954234,0.273427262,phone,0.38
2,0.609632424,0.444110061,phone,0.16
2,0.592853145,0.467875815,phone,0.41
2,0.455175069,0.354472809,phone,0.01
2,0.550577784,0.442607893,phone,0.06
2,0.39920635,0.254488778,phone,0.21
2,0.592326357,0.599454389,phone,0.32
2,0.422907285,0.480121278,phone,0.31
2,0.337512661,0.368182902,phone,0.57
2,0.387281239,0.172006726,phone,0.2
2,0.241538643,0.451228241,phone,0.33
2,0.366154084,0.538557042,phone,0.61
2,0.546677453,0.541812792,phone,0.52
2,0.328036919,0.483631318,phone,0.12
2,0.388271928,0.427867367,phone,0.34
2,0.214209107,0.427670321,phone,0.06
2,0.562405555,0.342817879,phone,0.62
2,0.490386519,0.308950456,phone,0.42
2,0.422175729,0.713173267,phone,0
2,0.290396522,0.317853672,phone,0.71
2,0.398202764,0.55032761,phone,0.22
2,0.308050279,0.446436394,phone,0.23
2,0.575259519,0.329844846,phone,0.64
2,0.344216885,0.38321743,phone,0.09
2,0.563339058,0.391659736,phone,0.37
2,0.388100907,0.582920937,phone,0.36
2,0.366493511,0.524636937,phone,0.22
2,0.344777675,0.513922139,phone,0.61
2,0.371740646,0.500778852,phone,0.47
2,0.340817657,0.368384001,phone,0.53
2,0.516835308,0.315249824,phone,0.7
2,0.436202665,0.443261342,phone,0.49
2,0.387269997,0.439731224,phone,0.7
2,0.604975852,0.356921735,phone,0.09
2,0.359264359,0.439113895,phone,0.66
2,0.263869992,0.355042899,phone,0.72
2,0.41792409,0.420078337,phone,0.68
2,0.371617573,0.494475554,phone,0.53
2,0.354569141,0.579309783,phone,0.47
2,0.548816258,0.322294846,phone,0.28
2,0.433137873,0.510715606,phone,0.37
2,0.417848772,0.363642752,phone,0.14
2,0.596177407,0.561096346,phone,0.67
2,0.386711118,0.291607459,phone,0.61
2,0.44946585,0.488616275,phone,0.19
3,0.533950787,0.444997824,internet,0.16
3,0.537193228,0.467350758,internet,0.43
3,0.495608649,0.370029754,internet,0.43
3,0.527491635,0.587675971,internet,0.12
3,0.519538819,0.568495395,internet,0.24
3,0.546096132,0.483309865,internet,0.27
3,0.512978488,0.567935012,internet,0.05
3,0.61880211,0.467659046,internet,0.36
3,0.486709694,0.452554015,internet,0.04
3,0.528777159,0.525066468,internet,0.44
3,0.528823695,0.452380964,internet,0.28
3,0.604650132,0.585314424,internet,0.09
3,0.518660787,0.544610269,internet,0.33
3,0.576237001,0.416155431,internet,0.1
3,0.513849377,0.544859222,internet,0.3
3,0.571924101,0.325588678,internet,0.31
3,0.592627405,0.47723805,internet,0.36
3,0.505510086,0.624228763,internet,0.02
3,0.498609007,0.391639429,internet,0
3,0.643434002,0.516779776,internet,0.44
3,0.557113637,0.519927628,internet,0.24
3,0.55633533,0.320971369,internet,0.16
3,0.454691633,0.348816817,internet,0.44
3,0.532572347,0.433117045,internet,0.05
3,0.549591047,0.518261259,internet,0.02
3,0.65059532,0.403126828,internet,0.41
3,0.572618895,0.600504433,internet,0.06
3,0.499371308,0.405030175,internet,0.4
3,0.371078082,0.473944738,internet,0.09
3,0.511126806,0.490187519,internet,0.29
3,0.622661681,0.395903412,internet,0.24
3,0.462584122,0.59399708,internet,0.02
3,0.577640042,0.349651776,internet,0.2
3,0.512403048,0.741321159,internet,0.08
3,0.620721778,0.376394404,internet,0.21
3,0.492213981,0.483517877,internet,0.43
3,0.492779882,0.507666151,internet,0.39
3,0.53801143,0.417090289,internet,0.13
3,0.65496243,0.345639877,internet,0.26
3,0.528696251,0.494613374,internet,0.02
3,0.436986407,0.643744032,internet,0.01
3,0.496720072,0.434544167,internet,0.37
3,0.594133932,0.614165643,internet,0.09
3,0.495970818,0.21160776,internet,0.23
3,0.548823923,0.559753768,internet,0.33
3,0.670514568,0.52451093,internet,0.32
3,0.644270886,0.320273517,internet,0.36
3,0.490885702,0.559561254,internet,0.38
3,0.571141375,0.563551776,internet,0.17
3,0.558074306,0.430279436,internet,0.29
3,0.508632624,0.338295109,internet,0.15
3,0.523168726,0.488894535,internet,0.11
3,0.575064561,0.46891723,internet,0.42
3,0.587353421,0.505147326,internet,0.41
3,0.410906059,0.332345944,internet,0.02
3,0.553544618,0.342794982,internet,0.03
3,0.577834074,0.506471906,internet,0.07
3,0.524624845,0.399822292,internet,0.14
3,0.554647703,0.688158994,internet,0.03
3,0.43819906,0.462255874,internet,0.23
3,0.559667523,0.587018972,internet,0.27
3,0.532416911,0.485207348,internet,0.05
3,0.555405708,0.354902665,internet,0.2
3,0.529302747,0.50194062,internet,0.16
3,0.661468139,0.48166048,internet,0.11
3,0.5384951,0.377853686,internet,0.31
3,0.501269085,0.507091015,internet,0
3,0.598329245,0.579805777,internet,0
3,0.489209144,0.563429915,internet,0.35
3,0.570242329,0.565172364,internet,0.25
3,0.568115487,0.672207226,internet,0.18
3,0.617985713,0.626450979,internet,0.1
3,0.41693646,0.620658263,internet,0.4
3,0.645628456,0.517697519,internet,0.26
3,0.462949908,0.767372195,internet,0.26
3,0.687308061,0.511193564,internet,0.25
3,0.575315483,0.501963778,internet,0.17
3,0.58831298,0.509602037,internet,0.1
3,0.50658351,0.590067058,internet,0.13
3,0.468470492,0.521989007,internet,0.2
3,0.46467658,0.300543164,internet,0.34
3,0.614571092,0.629887574,internet,0.42
3,0.589852713,0.490678594,internet,0.39
3,0.483361099,0.557483513,internet,0.17
3,0.612460496,0.591412969,internet,0.1
3,0.694708238,0.482184095,internet,0.21
3,0.514701551,0.56537615,internet,0.28
3,0.615406321,0.448579269,internet,0.2
3,0.539824036,0.477260225,internet,0.38
3,0.48376825,0.313745487,internet,0.4
3,0.528347392,0.502041322,internet,0.26
3,0.482643518,0.547159235,internet,0.07
3,0.505333544,0.4551974,internet,0.45
3,0.452146949,0.548743248,internet,0.32
3,0.686951978,0.419304827,internet,0.1
3,0.623702275,0.778831139,internet,0.15
3,0.564826566,0.444412871,internet,0.26
3,0.540932588,0.537873532,internet,0.01
3,0.492350093,0.389725618,internet,0.03
3,0.537888584,0.357040059,internet,0.24
3,0.478510456,0.59097306,internet,0.06
3,0.514468445,0.627775563,internet,0.02
3,0.301407588,0.475712593,internet,0.38
3,0.580543908,0.46118362,internet,0.35
4,0.479660245,0.438261078,mixed,0.42
4,0.515165361,0.527448264,mixed,0.25
4,0.412940061,0.358527816,mixed,0.18
4,0.475196382,0.381299322,mixed,0.16
4,0.458546081,0.386539009,mixed,0.37
4,0.567182641,0.436618298,mixed,0.3
4,0.519204344,0.310826462,mixed,0.15
4,0.518412219,0.362565241,mixed,0.03
4,0.483074242,0.442624873,mixed,0.21
4,0.542981023,0.526924341,mixed,0.06
4,0.499048867,0.418096989,mixed,0.06
4,0.421161023,0.467473841,mixed,0.39
4,0.503566587,0.460690024,mixed,0.24
4,0.333234364,0.443026936,mixed,0.28
4,0.568386956,0.451357396,mixed,0.14
4,0.518344239,0.511432972,mixed,0.09
4,0.594765332,0.398548247,mixed,0.29
4,0.532928389,0.432919649,mixed,0.27
4,0.463466217,0.566403061,mixed,0.14
4,0.457060528,0.362254489,mixed,0.21
4,0.520989725,0.527871193,mixed,0.26
4,0.311178897,0.461360156,mixed,0.39
4,0.464263873,0.369017055,mixed,0.32
4,0.467097729,0.348824656,mixed,0.13
4,0.514823636,0.484152051,mixed,0.12
4,0.444493053,0.294541815,mixed,0.15
4,0.435745446,0.459202223,mixed,0.04
4,0.417903956,0.364704592,mixed,0.08
4,0.535009167,0.412566155,mixed,0.3
4,0.567538685,0.520721819,mixed,0.3
4,0.612771551,0.543807278,mixed,0.22
4,0.534596739,0.523750631,mixed,0.2
4,0.443990181,0.438235297,mixed,0.38
4,0.398549925,0.465778987,mixed,0.32
4,0.471747081,0.466900894,mixed,0.15
4,0.495039142,0.480527368,mixed,0.29
4,0.509859272,0.407119786,mixed,0.12
4,0.545181005,0.481235076,mixed,0.2
4,0.477707023,0.439151434,mixed,0.01
4,0.529389618,0.30522983,mixed,0.36
4,0.539400641,0.415482025,mixed,0.06
4,0.296103127,0.492797574,mixed,0.07
4,0.449683583,0.411500011,mixed,0.38
4,0.409448728,0.398219726,mixed,0.01
4,0.429583569,0.409591601,mixed,0.12
4,0.366137305,0.406692372,mixed,0.19
4,0.546769345,0.41950718,mixed,0.18
4,0.479678967,0.459526376,mixed,0.09
4,0.393359326,0.420076928,mixed,0.23
4,0.457337667,0.444747168,mixed,0.26
4,0.425317682,0.439904184,mixed,0.07
4,0.505183339,0.407968723,mixed,0.1
4,0.409717039,0.366645599,mixed,0.06
4,0.516966797,0.596317282,mixed,0
4,0.406960697,0.396099005,mixed,0.25
4,0.495549671,0.35293555,mixed,0.12
4,0.454330802,0.457632153,mixed,0.45
4,0.569524288,0.440448944,mixed,0.38
4,0.366417959,0.385141752,mixed,0.14
4,0.586676952,0.481685028,mixed,0
4,0.426375903,0.371161291,mixed,0.19
4,0.536218333,0.539206275,mixed,0.11
4,0.360525388,0.442833099,mixed,0.12
4,0.438157265,0.45966091,mixed,0.42
4,0.665080846,0.370983244,mixed,0.07
4,0.34173097,0.386443469,mixed,0.16
4,0.433763252,0.504914311,mixed,0.09
4,0.497629115,0.433495329,mixed,0.27
4,0.486872477,0.373487245,mixed,0.36
4,0.522112992,0.473413464,mixed,0.23
4,0.236930618,0.368014452,mixed,0.35
4,0.395936741,0.405994588,mixed,0.26
4,0.277949687,0.439934073,mixed,0.01
4,0.415220351,0.43165603,mixed,0.25
4,0.365179901,0.489159045,mixed,0.39
4,0.389636884,0.449986087,mixed,0.28
4,0.50054038,0.561810237,mixed,0.24
4,0.405393169,0.501025057,mixed,0.4
4,0.606948019,0.389132488,mixed,0.31
4,0.460725603,0.416446363,mixed,0.43
4,0.480613763,0.399406097,mixed,0.39
4,0.402441796,0.394577086,mixed,0.06
4,0.423010604,0.58412545,mixed,0.21
4,0.687625166,0.482512204,mixed,0.42
4,0.563723925,0.494901621,mixed,0.14
4,0.466384032,0.484063205,mixed,0.05
4,0.375941914,0.47286635,mixed,0.25
4,0.577733541,0.362517645,mixed,0.11
4,0.566185587,0.430056744,mixed,0.22
4,0.537550028,0.484469152,mixed,0.23
4,0.585085579,0.447843932,mixed,0.15
4,0.597741289,0.404532002,mixed,0.16
4,0.445207325,0.408456406,mixed,0.43
4,0.526919105,0.496590779,mixed,0.25
4,0.412317218,0.421815701,mixed,0.32
