college,state,public_private,mathsat,verbalsat,act,applied,accepted,newstudents,newstudents_perc,fulltime_undergrad,tuition,phd_faculty,studentperfaculty,gradrate
Wartburg College,IA,2,557,478,24,1231,1074,345,34,1295,11600,66,12.4,67
Albertson College,ID,2,524,487,24,587,479,158,38,678,13500,67,9.4,55
Illinois Wesleyan University,IL,2,617,534,28,3050,1342,471,55,1818,14360,77,12.9,83
Knox College,IL,2,570,530,25,1040,845,286,48,967,15747,88,12.7,79
Monmouth College,IL,2,470,470,23,601,503,204,28,671,13000,91,11.6,56
Quincy University,IL,2,528,496,23,1025,707,297,22,1070,10100,69,16.3,80
University of Illinois - Urbana,IL,1,617,522,27,14939,11652,5705,52,25422,7560,87,17.4,81
Anderson University,IN,2,462,423,21,1216,908,423,19,1819,10100,48,12.1,59
Butler University,IN,2,544,484,25,2362,2037,700,40,2607,13130,77,10.9,83
Earlham College,IN,2,570,550,25,1358,1006,274,35,1028,15036,90,10.6,78
Franklin College,IN,2,532,481,22,804,632,281,29,840,10390,54,12.5,60
Hanover College,IN,2,541,486,24,1006,837,317,33,1024,8200,84,10.6,64
University of Southern Indiana,IN,1,429,384,18,2379,2133,1292,8,4283,4973,56,22,38
Manchester College,IN,2,508,442,22,1004,802,239,23,909,10440,63,11.8,64
Saint Mary-of-the-Woods College,IN,2,422,392,20,150,130,88,23,341,10300,44,10.2,75
Saint Mary's College,IN,2,538,488,25,888,734,393,26,1433,12730,74,9.9,98
Taylor University,IN,2,579,513,25,1769,1092,437,41,1757,10965,60,14.2,98
Asbury College,KY,2,513,476,23,643,509,280,26,1110,8988,61,12.1,
Bellarmine College,KY,2,515,474,23,807,707,308,39,1198,8840,74,13.1,84
Centre College,KY,2,575,534,27,1013,888,288,55,943,11850,95,11.4,74
Kentucky Wesleyan College,KY,2,450,410,22,584,497,175,20,662,8000,57,11.3,62
Transylvania University,KY,2,564,532,26,759,729,244,57,867,10900,81,12.1,70
Centenary College of Louisiana,LA,2,550,500,25,495,434,210,35,775,8950,86,11.3,66
Louisiana State University at Baton Rouge,LA,1,529,468,23,5996,4993,3079,29,16269,5925,83,15.9,37
Loyola University,LA,2,540,510,25,1891,1698,719,24,2740,11100,77,11.7,53
Amherst College,MA,2,685,639,25,4302,992,418,83,1593,19760,93,8.4,100
Boston University,MA,2,600,550,26,20192,13007,3810,45,14971,18420,80,11.9,72
Massachusetts Institute of Technology,MA,2,742,639,31,6411,2140,1078,96,4481,20100,99,10.1,94
Mount Holyoke College,MA,2,571,549,27,1800,1314,526,47,1891,19300,79,9,84
Northeastern University,MA,2,531,467,23,11901,8492,2517,16,11160,13380,73,12.9,46
Wheaton College,MA,2,550,530,24,1738,1373,417,21,1335,18460,92,13.2,71
Worcester Polytechnic Institute,MA,2,660,540,28,2768,2314,682,49,2802,15884,92,15.2,82
Salisbury State University,MD,1,554,491,22,4216,2290,736,20,4296,5130,73,17.9,56
Colby College,ME,2,610,560,26,2848,1319,456,58,1720,18930,83,10.2,91
Hillsdale College,MI,2,550,520,24,920,745,347,35,1133,11090,80,12,79
Michigan State University,MI,1,524,461,23,18114,15096,6180,23,26640,10658,93,14,71
Michigan Technological University,MI,1,620,512,26,2618,2288,1032,42,5524,8127,82,17,65
University of Detroit Mercy,MI,2,498,439,21,927,731,415,24,2149,11130,72,13.5,51
Center for Creative Studies,MI,2,470,450,21,601,396,203,1,525,11230,8,6.8,47
College of Saint Benedict,MN,2,526,484,23,938,864,511,29,1715,12247,70,13.1,72
College of Saint Catherine,MN,2,469,482,22,511,411,186,23,1692,12224,63,11.5,77
University of St. Thomas,MN,2,530,464,23,2057,1807,828,26,4106,11712,80,13.8,89
Hamline University,MN,2,575,535,25,1006,825,328,34,1362,13252,89,13,65
Saint John's University,MN,2,555,465,24,933,800,444,18,1691,12247,76,12,70
University of Minnesota at Morris,MN,1,650,550,26,1458,874,588,56,1846,9843,74,14.6,51
University of Minnesota Twin Cities,MN,1,568,484,23,11054,6397,3524,26,16502,8949,88,12.2,45
Lindenwood College,MO,2,435,435,22,810,484,356,6,2155,9200,65,24.1,100
Missouri Valley College,MO,2,400,400,18,1310,983,316,5,1057,8550,35,17.4,27
Webster University,MO,2,494,511,23,665,462,226,17,1739,9160,68,20.6,48
Westminster College,MO,2,520,480,24,662,553,184,20,665,10720,66,12.5,62
William Jewell College,MO,2,550,510,24,663,547,315,32,1279,10060,74,11.2,59
William Woods University,MO,2,482,459,21,469,435,227,17,851,10535,39,12.9,52
Millsaps College,MS,2,570,550,26,905,834,319,32,1073,11320,82,12.7,58
Rocky Mountain College,MT,2,444,426,21,560,392,270,11,743,8734,56,11.3,68
Appalachian State University,NC,1,519,471,22,7313,4664,1910,20,9940,6806,83,18.3,70
University of North Carolina at Asheville,NC,1,550,504,24,1757,979,394,32,2033,5972,77,13,37
Bennett College,NC,2,395,385,17,774,542,193,17,650,5600,63,12.1,44
Davidson College,NC,2,650,580,29,2373,956,452,77,1601,17295,95,12,94
Duke University,NC,2,687,615,30,13789,3893,1583,90,6188,18590,95,5,97
East Carolina University,NC,1,486,435,18,9274,6362,2435,14,13171,7248,74,13.2,58
Gardner Webb University,NC,2,445,400,19,1110,930,332,18,1603,8180,65,15.2,29
Guilford College,NC,2,530,500,24,1202,1054,326,18,1410,13404,78,15.6,65
Lenoir-Rhyne College,NC,2,482,439,21,979,743,259,25,1188,10100,88,12,66
Mars Hill College,NC,2,442,406,20,1056,873,385,15,1111,6950,60,11.9,69
North Carolina Wesleyan College,NC,2,432,394,20,812,689,195,7,646,8242,77,12.7,52
Queens College,NC,2,514,491,26,516,392,154,32,630,11020,73,14,58
Salem College,NC,2,508,494,24,335,284,132,28,534,10475,68,11.2,60
University of North Carolina at Wilmington,NC,1,494,441,21,6071,3856,1449,15,6635,7558,82,19.1,55
Wingate College,NC,2,442,400,22,1239,1017,383,10,1207,7820,69,13.9,91
University of North Dakota,ND,1,535,465,23,2777,2249,1652,20,8334,5634,97,15.9,49
University of Nebraska at Lincoln,NE,1,513,447,22,6277,6003,3526,33,16454,5595,86,15.1,53
College of Santa Fe,NM,2,480,484,21,546,447,189,16,873,11138,40,14,80
College of the Southwest,NM,2,460,390,19,77,61,27,7,352,3120,24,14.3,20
Cazenovia College,NY,2,392,375,19,3847,3433,527,9,1010,9384,22,14.3,118
Colgate University,NY,2,623,563,27,4856,2492,727,46,2649,19510,95,10.5,93
Elmira College,NY,2,496,463,23,1457,1045,345,27,1109,14990,77,21.5,64
Hartwick College,NY,2,524,478,23,2083,1725,430,22,1464,17480,75,12.3,73
Hofstra University,NY,2,540,470,24,7428,5860,1349,25,6534,11600,81,13.9,60
Houghton College,NY,2,535,508,24,949,786,302,30,1210,9990,85,15,67
Marist College,NY,2,515,475,25,4731,3171,830,12,3557,10700,74,17.6,69
Nyack College,NY,2,472,433,21,460,283,160,15,508,7950,35,11.6,55
Skidmore College,NY,2,570,520,25,4293,2728,591,25,2322,18710,87,12.7,81
Siena College,NY,2,560,491,24,2961,1932,628,24,2669,10800,71,14.1,100
St. Bonaventure University,NY,2,535,478,25,1489,1313,375,13,1688,10456,91,17.7,78
St. John Fisher College,NY,2,525,465,22,1368,1064,354,19,1687,10570,86,14.5,66
SUNY at Binghamton,NY,1,615,533,26,14463,6166,1757,60,8544,6550,83,18,80
SUNY College at Brockport,NY,1,506,446,22,7294,3564,904,7,5758,6550,79,19,49
SUNY College at Cortland,NY,1,524,460,23,7888,3519,1036,6,5011,6550,82,17.8,53
SUNY College at Fredonia,NY,1,525,472,23,4877,2798,814,13,4123,6550,82,16.3,66
SUNY College at Geneseo,NY,1,608,541,26,8598,4562,1143,56,5060,6550,79,19.1,76
SUNY College at New Paltz,NY,1,537,479,24,8399,3609,656,19,4658,6550,85,15.3,53
SUNY College at Oswego,NY,1,550,480,24,8000,4556,1464,17,6943,6550,69,22,63
SUNY College at Plattsburgh,NY,1,520,460,22,5549,3583,853,9,5004,6550,80,17.9,65
SUNY College at Potsdam,NY,1,540,500,23,3150,2289,650,16,3598,6840,71,15.1,59
Ashland University,OH,2,438,410,21,1454,1267,424,20,1874,11431,43,17.4,66
Baldwin-Wallace College,OH,2,529,468,23,1690,1366,662,30,2718,10995,68,17.6,85
Bluffton College,OH,2,512,438,23,692,514,209,20,760,9900,76,13.3,58
Bowling Green State University,OH,1,497,449,22,9251,7333,3076,14,13699,7452,81,21.1,67
Cedarville College,OH,2,524,486,24,1307,1090,616,25,2196,7344,50,15.3,64
College of Mount St. Joseph,OH,2,480,440,21,798,620,238,14,1165,9800,46,11.1,100
Franciscan University of Steubenville,OH,2,516,488,24,553,452,228,22,1301,9650,57,14.9,83
Heidelberg College,OH,2,500,420,22,738,687,241,20,964,13780,68,12.5,65
Kenyon College,OH,2,593,570,27,2212,1538,408,44,1445,19240,95,11.1,88
Malone College,OH,2,479,433,21,874,758,428,21,1605,9858,42,17.6,55
Muskingum College,OH,2,490,436,22,1109,922,375,24,1115,13240,73,13.4,73
Oberlin College,OH,2,623,596,29,4778,2767,678,50,2587,19670,77,10.1,83
Ohio University,OH,1,520,473,24,11023,8298,3183,21,14861,7629,79,20.4,64
Tiffin University,OH,2,372,308,19,845,734,254,5,662,7600,59,19,39
University of Cincinnati,OH,1,533,464,23,6855,5553,2408,26,11036,8907,89,10.8,54
University of Dayton,OH,2,578,504,25,6361,5293,1507,26,5889,11380,81,14.8,93
Wittenberg University,OH,2,577,524,25,1979,1739,575,42,1980,15948,82,12.8,78
Xavier University,OH,2,521,475,24,1959,1805,695,24,2849,11520,73,13.3,83
Antioch University,OH,2,504,516,24,713,661,252,25,712,15476,69,11.3,48
Oklahoma Christian University,OK,2,480,440,22,776,765,351,22,1419,6400,58,16.2,45
Oklahoma State University,OK,1,540,477,24,4522,3913,2181,29,12830,5336,84,15.3,48
Oral Roberts University,OK,2,520,490,23,1223,650,632,13,2645,7950,51,15.5,45
Linfield College,OR,2,556,495,25,1561,1188,458,48,1548,13380,89,17.8,81
Pacific University,OR,2,542,479,24,943,849,288,41,1041,14210,76,10.9,42
Reed College,OR,2,632,603,28,1966,1436,327,47,1199,19960,90,11.8,68
Albright College,PA,2,537,486,24,1038,839,227,30,973,15595,79,11.3,80
Carnegie Mellon University,PA,2,679,555,28,8728,5201,1191,60,4265,17900,86,9.2,74
Chatham College,PA,2,481,491,22,212,197,91,28,471,13500,95,9.3,52
Eastern College,PA,2,479,452,23,458,369,165,16,1057,11190,60,13.6,54
Gannon University,PA,2,518,464,23,2464,1908,678,24,2693,10970,47,13.3,65
Geneva College,PA,2,502,460,22,668,534,237,19,1306,9476,67,20.1,74
Messiah College,PA,2,555,509,24,1742,1382,607,30,2258,10300,68,14.1,89
Thiel College,PA,2,444,418,20,1154,951,253,15,791,11172,68,11.6,60
University of Pennsylvania,PA,2,680,594,29,12394,5232,2464,85,9205,17020,95,6.3,93
Westminster College,PA,2,530,470,24,996,866,377,29,1411,12065,62,12.5,80
Brown University,RI,2,680,620,28,12586,3239,1462,87,5643,19528,99,7.6,97
Providence College,RI,2,537,485,25,5139,3346,973,20,3717,14400,66,18.4,96
Central Wesleyan College,SC,2,429,384,18,174,146,88,8,1047,8300,62,15.2,58
Lander University,SC,1,455,406,18,1166,1009,510,9,2074,4938,67,17,51
Newberry College,SC,2,466,418,20,872,722,154,14,601,10194,57,11.4,83
Presbyterian College,SC,2,580,520,26,1082,832,302,34,1133,11859,80,13.4,85
Belmont University,TN,2,522,490,24,1220,974,481,28,1964,7800,61,11.1,49
Christian Brothers University,TN,2,530,480,24,880,520,224,16,1068,9300,81,11.1,63
Freed-Hardeman University,TN,2,485,458,22,895,548,314,20,1174,5500,68,16.1,62
Maryville College,TN,2,505,448,23,1464,888,176,26,624,11200,80,11.1,51
Tennessee Wesleyan College,TN,2,440,370,19,232,182,99,7,402,7070,59,8.9,36
University of Tennessee at Knoxville,TN,1,525,468,23,7473,5372,3013,27,15749,5764,86,16.5,53
University of the South,TN,2,601,557,27,1445,966,326,46,1129,15350,89,10.3,82
Vanderbilt University,TN,2,640,559,28,7791,4690,1499,71,5500,17865,93,5.8,83
Angelo State University,TX,1,509,441,22,3540,2001,1016,24,4190,5130,60,23.1,34
Hardin-Simmons University,TX,2,510,470,22,467,424,350,16,1365,6300,75,13.7,38
Incarnate Word College,TX,2,480,441,21,1163,927,386,16,1685,8840,67,11.4,95
Lamar University,TX,1,459,413,20,2336,1725,1043,10,5438,4752,48,18.4,26
University of North Texas,TX,1,526,467,23,4418,2737,2049,23,14047,4104,86,22.6,35
Schreiner College,TX,2,470,420,22,584,413,131,19,521,8955,51,11.8,52
Southwestern Adventist College,TX,2,419,395,21,321,318,172,11,620,7536,44,13,36
Prairie View A. and M. University,TX,1,377,332,17,2405,2234,1061,10,4564,4290,55,19.4,35
Texas College,TX,2,330,290,16,254,189,189,15,503,3605,37,18.4,26
Texas Lutheran College,TX,2,498,436,22,497,423,215,27,895,7850,54,13.8,50
University of Dallas,TX,2,593,550,26,681,588,246,44,1058,10760,85,13.4,63
University of St. Thomas,TX,2,560,500,26,374,280,185,45,995,8550,75,12.6,62
University of Texas at Austin,TX,1,603,523,25,14752,9572,5329,48,30017,5130,91,19.7,65
Texas A&M Univ. at College Station,TX,1,578,491,25,14474,10519,6392,49,31643,5130,89,23.1,69
University of Utah,UT,1,543,484,24,5095,4491,2400,27,13894,6857,89,12.8,37
Emory & Henry College,VA,2,485,445,23,765,646,226,30,809,8578,79,13.9,82
Hollins College,VA,2,502,505,23,602,498,215,26,795,13470,78,11.1,72
Castleton State College,VT,1,459,416,21,1257,940,363,9,1547,7656,89,14.7,79
Seattle University,WA,2,525,464,24,2115,1540,494,28,2993,12825,85,12.2,89
Whitman College,WA,2,600,550,27,1861,998,359,45,1220,16670,80,10.5,72
Beloit College,WI,2,575,549,26,1320,923,284,26,1085,16304,87,11.1,69
Ripon College,WI,2,557,513,24,587,501,211,28,735,15200,87,9.4,64
St. Norbert College,WI,2,614,553,24,1334,1243,568,30,1946,12140,74,15.1,88
Univ. of Wisconsin at Eau Claire,WI,1,525,460,23,5729,4520,1957,20,8516,6996,80,19.3,61
Alderson-Broaddus College,WV,2,443,394,20,582,498,172,21,799,10468,40,11.5,52
Marshall University,WV,2,465,450,23,4226,3666,2007,14,7703,5094,77,16.6,50
